name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Nicole Fritea,Maryland,48,9,12,11,1,4,1,1,35,3.888888888888889
Alie Bisballe,Wisconsin,46,11,9,12,3,3,1,1,33,3.0
Precious Wheeler,Rutgers,68,15,7,16,1,3,0,0,30,2.0
Deja Young,Rutgers,83,15,10,4,3,0,5,2,29,1.9333333333333333
Sara Barhoum,Oregon,54,8,12,4,2,1,2,4,28,3.5
Anna Terrian,Michigan State,46,9,9,8,3,0,2,3,27,3.0
Teagan Mallegni,Iowa,37,9,9,10,5,0,1,1,27,3.0
Christina Karamouzi Siegel,UCLA,52,15,10,6,2,0,2,2,24,1.6
Naomi Benson,Illinois,40,12,10,10,0,2,0,0,24,2.0
Kat Righeimer,Northwestern,45,7,7,3,0,2,4,1,23,3.2857142857142856
Leena Patibandla,Wisconsin,29,9,6,5,4,1,2,0,21,2.3333333333333335
Crystal Wang,Northwestern,50,8,10,5,4,0,1,0,21,2.625
Brynn Senden,Minnesota,40,10,8,5,4,0,1,1,20,2.0
Nina Cain,Washington,41,8,6,8,0,0,2,0,18,2.25
Makylah Moore,Rutgers,25,8,8,7,0,0,1,0,17,2.125
Faith Wiseman,Indiana,34,7,3,9,1,1,1,0,17,2.4285714285714284
Jada Gyamfi,Iowa,18,4,3,4,2,1,2,1,16,4.0
Alanna Neale,Nebraska,45,8,10,2,1,0,1,1,16,2.0
Amparo López,Northwestern,53,13,7,3,2,0,1,1,15,1.1538461538461537
Brooklyn Shamblin,USC,31,9,3,5,4,0,1,1,15,1.6666666666666667
Chloe Spreen,Indiana,41,7,6,5,2,0,0,0,13,1.8571428571428572
Kennedy Brandt,Rutgers,49,13,3,3,0,0,3,1,13,1.0
Megan Grant,UCLA,28,13,6,4,1,0,0,0,11,0.8461538461538461
Hayven Smith,Illinois,45,11,2,6,0,1,0,0,10,0.9090909090909091
Kennise Johnson,Iowa,18,5,2,3,3,0,0,0,8,1.6
Zoey Bershers,Minnesota,15,6,3,3,1,0,0,1,8,1.3333333333333333
Carley Barrett,Purdue,7,5,5,0,0,0,1,1,8,1.6
Taylor Woodson,Minnesota,22,2,2,4,0,0,1,0,8,4.0
Sammie Wagner,Oregon,12,3,1,2,1,1,1,0,8,2.6666666666666665
Tracey Bershers,Minnesota,14,2,4,1,2,0,0,0,7,3.5
Mia Zenere,Illinois,18,4,4,2,1,0,0,0,7,1.75
Gisela Segura,Illinois,17,5,3,3,0,0,0,0,6,1.2
Sandra Moreno,Northwestern,12,5,0,4,0,0,0,0,4,0.8
Alba Martín Mesa,Wisconsin,16,9,0,1,0,1,0,0,3,0.3333333333333333
Reese Jaramillo,Wisconsin,5,6,2,0,0,0,0,0,2,0.3333333333333333
Aaiyanna Dunbar,Michigan,10,6,0,0,0,0,1,0,2,0.3333333333333333
Rachel Mutombo,Northwestern,10,5,0,1,0,0,0,0,1,0.2
Sammy White,Northwestern,7,3,0,0,0,0,0,0,0,0.0
